component,group,hipps_char,cmi,rate_urban,rate_rural
PT,TA,A,1.45,109.81,125.18
PT,TB,B,1.61,121.93,138.99
PT,TC,C,1.78,134.80,153.67
PT,TD,D,1.81,137.07,156.26
PT,TE,E,1.34,101.48,115.68
PT,TF,F,1.52,115.11,131.22
PT,TG,G,1.58,119.65,136.40
PT,TH,H,1.10,83.30,94.96
PT,TI,I,1.07,81.03,92.37
PT,TJ,J,1.34,101.48,115.68
PT,TK,K,1.44,109.05,124.32
PT,TL,L,1.03,78.00,88.92
PT,TM,M,1.20,90.88,103.60
PT,TN,N,1.40,106.02,120.86
PT,TO,O,1.47,111.32,126.91
PT,TP,P,1.02,77.24,88.06
OT,TA,A,1.41,99.39,111.80
OT,TB,B,1.54,108.55,122.11
OT,TC,C,1.60,112.78,126.86
OT,TD,D,1.45,102.21,114.97
OT,TE,E,1.33,93.75,105.46
OT,TF,F,1.51,106.44,119.73
OT,TG,G,1.55,109.26,122.90
OT,TH,H,1.09,76.83,86.43
OT,TI,I,1.12,78.95,88.80
OT,TJ,J,1.37,96.57,108.63
OT,TK,K,1.46,102.92,115.76
OT,TL,L,1.05,74.01,83.25
OT,TM,M,1.23,86.70,97.53
OT,TN,N,1.42,100.10,112.59
OT,TO,O,1.47,103.62,116.56
OT,TP,P,1.03,72.60,81.67
SLP,SA,A,0.64,18.10,22.80
SLP,SB,B,1.72,48.64,61.28
SLP,SC,C,2.52,71.27,89.79
SLP,SD,D,1.38,39.03,49.17
SLP,SE,E,2.21,62.50,78.74
SLP,SF,F,2.82,79.75,100.48
SLP,SG,G,1.93,54.58,68.77
SLP,SH,H,2.70,76.36,96.20
SLP,SI,I,3.34,94.46,119.00
SLP,SJ,J,2.83,80.03,100.83
SLP,SK,K,3.50,98.98,124.71
SLP,SL,L,3.98,112.55,141.81
NTA,NA,A,3.06,304.75,291.16
NTA,NB,B,2.39,238.02,227.41
NTA,NC,C,1.74,173.29,165.56
NTA,ND,D,1.26,125.48,119.89
NTA,NE,E,0.91,90.63,86.59
NTA,NF,F,0.68,67.72,64.70
Nursing,ES3,A,3.84,506.88,484.30
Nursing,ES2,B,2.90,382.80,365.75
Nursing,ES1,C,2.77,365.64,349.35
Nursing,HDE2,D,2.27,299.64,286.29
Nursing,HDE1,E,1.88,248.16,237.11
Nursing,HBC2,F,2.12,279.84,267.37
Nursing,HBC1,G,1.76,232.32,221.97
Nursing,LDE2,H,1.97,260.04,248.46
Nursing,LDE1,I,1.64,216.48,206.84
Nursing,LBC2,J,1.63,215.16,205.58
Nursing,LBC1,K,1.35,178.20,170.26
Nursing,CDE2,L,1.77,233.64,223.23
Nursing,CDE1,M,1.53,201.96,192.96
Nursing,CBC2,N,1.47,194.04,185.40
Nursing,CA2,O,1.03,135.96,129.90
Nursing,CBC1,P,1.27,167.64,160.17
Nursing,CA1,Q,0.89,117.48,112.25
Nursing,BAB2,R,0.98,129.36,123.60
Nursing,BAB1,S,0.94,124.08,118.55
Nursing,PDE2,T,1.48,195.36,186.66
Nursing,PDE1,U,1.39,183.48,175.31
Nursing,PBC2,V,1.15,151.80,145.04
Nursing,PA2,W,0.67,88.44,84.50
Nursing,PBC1,X,1.07,141.24,134.95
Nursing,PA1,Y,0.62,81.84,78.19
